REGISTRATION_DATE,KC_REPUDIATE_DT,DRIVER_AGE,KC_OUTSTANDING_RESERVE,TIME_TAKEN_REGISTRATION,KC_STATUS,KC_STATUS_TEXT,POLICY_NUMBER,CLAIMNUMBER,RISKNAME,ANALYST_HANDLING,AUTHORIZE_BY,NOTIFICATE_DATE,POLICE_REPORTED,POLICE_STATION_NAME,KC_SUM_INSURED,DATE_LOSS,PERILNAME,NOTIFICATION_DATE,IC_NAME,GP_NAME,GCT_NAME,CLIENT_MOBILE_NUMBER,CLIENT_NAME,INT_TYP,INTERMEDIARY_NAME,INTERMEDIARY_PHONE_NO,COVER_START_DATE,COVER_END_DATE,BR_NAME,MAKE_NAME,MODEL_NAME,MANUFACTURING_YEAR,POLICY_HOLDER_GENDER,POLICY_HOLDER_AGE,KC_FIRST_REPUDIATE_REM,KC_FIRST_REPUDIATE_REM_DATA,KC_SECOND_REPUDIATE_REM,KC_FIFTH_REPUDIATE_REM,GMR_ENGINE_NO,GMR_CHASIS_NO,GMR_VEH_COLOR
,,31.0,0,1,74,Authorized Payment,G/HQS/00001,C/HQS/00001,KD00001,R00001,G00001,,Yes,TURBO POLICE STATION,1050000.0,,Motor Material Damage,,Motor Private,Motor Private,Comprehensive,727000010,Aaron 00001,Agent,AGAaron 00001,700000012,,,Head Office,Toyota,"Isis Znm1, Anm1, Zgm1",2014,Male,35.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,700,1,2,Inprocess,G/HQS/00002,C/HQS/00002,KB00002,T00002,J00002,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,706000020,Adam 00002,Broker,AGAdam 00002,736000022,,,Head Office,Toyota,Aca21,2002,Male,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,120700,1,5,Inprocess,G/EMB/00003,C/EMB/00003,KB00003,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,722000030,Adrian 00003,Agent,AGAdrian 00003,725000032,,,Embu,Toyota,"Wish Zne1, Ane1",2007,,25.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/HGS/00004,C/HGS/00004,KC00004,N00004,N00004,,,,4000000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,720000040,Alan 00004,Bancassurance,AGAlan 00004,203000042,,,Hughes,Mercedes-Benz,Axor 2540,2013,Male,66.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,80200,1,5,Inprocess,G/HGS/00004,C/HGS/00006,KC00004,J00003,C00003,,,,4000000.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Comprehensive,720000040,Alan 00004,Bancassurance,AGAlan 00004,203000042,,,Hughes,Mercedes-Benz,Axor 2540,2013,Male,66.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,35000,1,2,Inprocess,G/RKA/00006,C/RKA/00007,KD00006,J00003,C00003,,,,3280000.0,,Third Party,,Motor Private,Motor Private,Comprehensive,729000060,Alec 00006,Bancassurance,AGAlec 00006,722000062,,,Ruaka,Suzuki,Vitara Et,2020,,71.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,48585,1,5,Inprocess,G/NYR/00007,C/NYR/00008,KB00007,J00003,C00003,,,,0.0,,Third Party,,Motor Private,Motor Private,Third Party Only,711000070,Alex 00007,Bancassurance,AGAlex 00007,711000072,,,Nyeri,Nissan,Avenir W11,2003,,57.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,17720,1,5,Inprocess,G/KTD/00008,C/KTD/00009,KC00008,J00003,C00003,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial Own Goods,Third Party Only,722000080,Alexander 00008,Agent,AGAlexander 00008,722000082,,,Ktda,Hino,H/S/S,2014,Male,65.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,2,Inprocess,G/HGS/00009,C/HGS/00010,KA00009,N00004,N00004,,,,0.0,,Third Party,,Motor Commercial,Motor Commercial General Cartage,Third Party Only,728000090,Alfred 00009,Agent,AGAlfred 00009,202000092,,,Hughes,Isuzu,Tfr/Tfs Tf,1999,Male,67.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
,,31.0,0,1,6,Inprocess,G/MCH/00010,C/MCH/00011,KB00010,J00003,C00003,,,,1020000.0,,Third Party,,Motor Commercial,Motor Commercial Own Goods,Comprehensive,719000100,Andrew 00010,Agent,AGAndrew 00010,726000102,,,Machakos,Isuzu,Npr,2009,Male,65.0,No Repudiation,No Repudiation,No Repudiation,No Repudiation,,,
